bile_acids,class
L_HISTIDINE,alpha_amino_acid
L_LYSINE,alpha_amino_acid
L_SERINE,alpha_amino_acid
BETA_ALANINE,beta_amino_acid
L_ALANINE,alpha_amino_acid
L_TYROSINE,alpha_amino_acid
L_ASPARAGINE,alpha_amino_acid
L_ASPARTIC_ACID,alpha_amino_acid
HIPPURIC_ACID,carboxylic_acid
L_MALIC_ACID,dicarboxylic_acid
ADIPIC_ACID,dicarboxylic_acid
INDOLEACETIC_ACID,auxin
X3_INDOLEPROPIONIC_ACID,indole_derivative
X3_METHYL_2_OXOVALERIC_ACID,keto_acid
GLYCINE,alpha_amino_acid
GLYCERIC_ACID,hydroxyl_acid
L_PROLINE,alpha_amino_acid
L_ALPHA_AMINOBUTYRIC_ACID,alpha_amino_acid
GLYCOLIC_ACID,alpha_hydroxyl_acid
P_CRESOL_SULFATE,aryl_sulfate
PYROGLUTAMIC_ACID,lactam
L_VALINE,alpha_amino_acid
L_METHIONINE,alpha_amino_acid
L_LEUCINE,alpha_amino_acid
L_TRYPTOPHAN,alpha_amino_acid
CIS_ACONITIC_ACID,tricarboxylic_acid
METHYLSUCCINIC_ACID,fatty_acid
ISOCITRIC_ACID,tricarboxylic_acid
CITRIC_ACID,tricarboxylic_acid
OXOGLUTARIC_ACID,keto_acid
C1_0,fatty_acid
X3_HYDROXYBUTYRIC_ACID,fatty_acid
C2_0,fatty_acid
C3_0,fatty_acid
X3_HYDROXYISOVALERIC_ACID,fatty_acid
X2_HYDROXYBUTYRIC_ACID,fatty_acid
ISOBUTYRIC_ACID,fatty_acid
C4_0,fatty_acid
SUCCINIC_ACID,fatty_acid
C5_0,fatty_acid
SUBERIC_ACID,fatty_acid
X__2_METHYLPENTANOIC_ACID,fatty_acid
C6_0,fatty_acid
C7_0,fatty_acid
C8_0,fatty_acid
C11_1_CIS_10,fatty_acid
C10_0,fatty_acid
C9_0,fatty_acid
C11_0,fatty_acid
C12_0,fatty_acid
C13_0,fatty_acid
C20_5_CIS_5_8_11_14_17,fatty_acid
C15_0,fatty_acid
C18_3_CIS_9_12_15,fatty_acid
C18_3_CIS_6_9_12,fatty_acid
C14_0,fatty_acid
C22_6_CIS_4_7_10_13_16_19,fatty_acid
C20_2_CIS_11_14,fatty_acid
C16_1_CIS_9,fatty_acid
C20_4_CIS_5_8_11_14,fatty_acid
C22_5_CIS_7_10_13_16_19,fatty_acid
C22_5_CIS_4_7_10_13_16,fatty_acid
C18_2_CIS_9_12,fatty_acid
C17_0,fatty_acid
C20_3_CIS_8_11_14,fatty_acid
C17_1_CIS_10,fatty_acid
C19_2_CIS_10_13,fatty_acid
C16_0,fatty_acid
C22_4_CIS_7_10_13_16,fatty_acid
C18_1_CIS_9,fatty_acid
C18_0,fatty_acid
X12_KETOLCA,secondary
X3_DHCA,primary_conjugated
X7_KETOLCA,secondary
X7_DHCA,secondary
ALLOLCA,secondary
APOCA,secondary
CA,primary
CDCA,primary
DCA,secondary
DEHYDROLCA,secondary_conjugated
GCA,primary_conjugated
GCDCA,primary_conjugated
GDCA,secondary_conjugated
GHCA,primary_conjugated
GHDCA,secondary_conjugated
GLCA,secondary_conjugated
GUDCA,secondary_conjugated
HCA,primary
HDCA,secondary
ISOLCA,secondary_conjugated
LCA,secondary
LCA_3S,secondary_conjugated
MUROCA,secondary
NORCA,primary_conjugated
NORDCA,secondary
TCA,primary_conjugated
TCDCA,primary_conjugated
TDCA,secondary_conjugated
TUDCA,secondary_conjugated
TAMCA,primary_conjugated
UCA,primary_conjugated
UDCA,secondary_conjugated
BUDCA,secondary_conjugated
CA_CDCA,ratio
DCA_CA,ratio
TDCA_CA,ratio
GDCA_CA,ratio
TDCA_DCA,ratio
GDCA_DCA,ratio
GLCA_CDCA,ratio